EST_ID,Estuary_Name
1010,Blind Bay
1011,Squaw Bay
1012,Argyle Lagoon
1013,Fisherman Bay
1014,False Bay
1015,Davis Bay
1016,Barlow Bay
1017,Samish Bay
1018,Padilla Bay
1019,Fidalgo Bay
1020,Ship Harbor Lagoon
1021,Flounder Bay
1022,Simik Bay
1023,Bowman Bay
1024,Dugualla Bay
1025,Skagit Bay
1026,Crescent Harbor Salt Marsh
1027,Freund Marsh
1028,Maylor Point
1029,Grasser's Lagoon
1030,Kennedys Lagoon
1031,Perigo's Lagoon
1032,Harrington Lagoon
1033,Race Lagoon
1034,Stillaguamish River
1035,Triangle Cove
1036,Crockett Lake
1037,Camano Country Club
1038,Saratoga Pass Tidelands
1039,Elger Bay
1040,Lake Hancock
1041,Lagoon Point
1042,Tulalip Bay
1043,Snohomish River
1044,Deer Lagoon / Useless Bay
1045,Maxwelton
1046,Cultus Bay
1047,Appletree Cove
1048,Miller Bay
1049,Doe-Kag-Wats
1050,Liberty Bay
1051,Point Monroe
1052,Keyport Lagoon
1053,Port Madison
1054,Salmon Bay
1055,Burke Bay
1056,Fletcher Bay
1057,Clear Creek
1058,Barker Creek
1059,Eagle Harbor
1060,Chico Creek
1061,Schel-chelb
1062,Phinney Bay
1063,Oyster Bay
1064,Clam Bay
1065,Duwamish River
1066,Gorst Creek
1067,Curley Creek
1068,Harper
1069,Miller Creek
1070,Olalla Creek
1071,Gig Harbor
1072,Puyallup River
1073,Burley Lagoon
1074,Minter Creek
1075,Glen Cove
1076,Wollochet Bay
1077,Days Island Harbor
1078,Chambers Creek
1079,West Filucy Bay
1080,East Oro Bay
1081,Oro Bay
1082,Nisqually River
1083,Mill Bight
1084,Taylor Bay
1085,Henderson Inlet
1086,Big Fishtrap
1087,Gull Harbor
1088,Deschutes River
1089,Mud Bay
1090,Young Cove
1091,Fry Cove
1092,Sanderson Harbor
1093,Hudson Cove
1094,Oyster Bay
1095,Skookum Inlet
1096,Belspeox Point
1097,Mill Creek
1098,Goldsborough Creek
1099,Campbell Creek / Chapman Cove
1100,Oakland Bay
1101,West Harstine Island
1102,Whiteman Cove
1103,Herron
1104,Jarrell Cove
1105,Dutcher Cove
1106,McLane Cove
1107,Grapeview
1108,Vaughn Bay
1109,Rocky Bay
1110,North Bay
1111,Lynch Cove
1112,Tahuya River
1113,Skokomish River
1114,Dewatto Bay
1115,Lillwaup Bay
1116,Hamma Hamma River
1117,Anderson Creek
1118,Duckabush River
