"","EST_ID","mean.pr","SD.pr","ES0.99.pr","mean.tas","SD.tas","ES0.99","waterfowl.relative.abundance","waterfowl.richness","meanrisk","Area_Ha","mean.pr.norm","SD.pr.norm","ES0.99.pr.norm","mean.tas.norm","SD.tas.norm","ES0.99.norm","waterfowl.relative.abundance.norm","waterfowl.richness.norm","meanrisk.norm","Area_Ha.norm"
"31",31,11.161674975,-4.657472468,-0.381320506,20.39797691,4.5298722065,9.9792611635,0.073472805,12.3340435,83.9330989226123,83.5029623509,0.555608220422992,0.894726949563459,0.57022580675122,0.315732186303545,0.563589059208476,0.537188990670896,0.0891923099396092,0.467825232464171,0.0719364210236978,0.00192868584291832
"32",32,9.799113427,-4.2858625405,-0.84151003,19.954521325,4.1730463425,9.560736098,0.089869775,14.14139557,419.665494613062,5.95990459783,0.510872911743391,0.909847982942583,0.557445001960482,0.298542792333979,0.540722839898041,0.500360786855941,0.10909741129392,0.536377358317493,0.359682105118489,0.000136373716366122
"33",33,13.098029755,-5.114420532,2.629567162,23.692817715,4.634596796,10.074765566,0.077003621,12.75923729,2.00268403944068,292.204541714,0.619182177081075,0.876133455641609,0.653846935709273,0.443448058151557,0.570300050961872,0.545592921260557,0.0934785439415877,0.483952659260506,0.00171643754475783,0.00675256540560258
"34",34,9.3929199135,-9.157268701,-3.795240341,19.047679,4.6542089345,9.615670504,0.126995221,17.51943588,0,109.603271508,0.497536859337724,0.711627511138334,0.47541129945191,0.263391425387723,0.571556841753494,0.505194751813821,0.1541658456116,0.664505047610877,0,0.00253196229299073
"35",35,17.373551185,-15.715681355,-5.9477410815,26.99944828,-0.991915907,5.818170716,0.106145024,12.32899189,1.49217017487833,19540.0772427,0.759555117458005,0.444761721727457,0.415630078147424,0.571620929158677,0.209740219402829,0.171032935214782,0.12885474944308,0.467633626960058,0.0012788921571694,0.451643399633047
"36",36,10.0411772495,-11.71507767,-6.2676603745,18.99456741,4.373584805,9.5824914005,0.110934444,17.06996346,7.42767472182209,162.545427685,0.518820295724391,0.607548712550067,0.406744986637553,0.261332693745275,0.553573804265642,0.502275149412862,0.134668865741906,0.64745674229456,0.00636602654822412,0.00375565492610849
"37",37,13.35119943,-5.406112251,-0.4417956225,19.83453609,4.157323846,9.9365985115,0.042396892,5.135346413,474.44228439407,33.3295430069,0.627494185867807,0.864264342647008,0.568546236447304,0.293891879041398,0.539715306281933,0.533434881365004,0.0514677060681178,0.194781592058255,0.406629569975546,0.000768989146313916
"38",38,14.17534558,-4.5917787065,0.468154162,19.40500886,4.1365530945,9.741176359,0.014074144,2.859781265,474.44228439407,17.0454910378,0.654552363512312,0.897400068570598,0.593818194974262,0.277242381263337,0.538384268913405,0.516238666716237,0.0170853067850437,0.108470335384767,0.406629569975546,0.000392603372276412
"39",39,13.577451555,-6.492826678,2.079737573,18.71560504,5.3443229555,11.166913545,0.068865262,9.236010551,332.540094124234,7.92993482546,0.634922443817804,0.820045273380503,0.638576564962674,0.250519448309176,0.615780930154756,0.641696719293899,0.0835989832207494,0.350318108012438,0.28500966275816,0.000181908534942655
"40",40,13.766719925,-4.9552982265,0.8880623265,18.79696778,4.71840723,10.40625653,0.022474235,3.76786828,476.073604569637,15.6133176476,0.641136459593945,0.88260823878052,0.605480268969045,0.253673261767864,0.575670815689697,0.574762540457494,0.0272825970612612,0.142913704981288,0.408027723224745,0.000359500451022585
"41",41,13.907820265,-4.727434859,1.021471488,18.77327391,4.223715377,10.1584683265,0.022303127,3.80795145,476.073604569637,15.6627962751,0.645769033640939,0.891880137432493,0.609185430346051,0.252754830971477,0.54396982777649,0.552958363805523,0.0270748805085973,0.144434043248552,0.408027723224745,0.000360644088462777
"42",42,14.135762895,-4.5442287755,0.9419650245,19.25911007,4.182958399,10.095185786,0.030956076,4.658798695,474.44228439407,15.9739320922,0.653252793863923,0.899334904108128,0.606977304048948,0.271586996900565,0.541358027199784,0.547389802943636,0.0375791277480981,0.176706331746937,0.406629569975546,0.00036783560907277
"43",43,14.0955171,-4.789241263,3.7371761545,19.06591852,2.719095733,8.8450846825,0.041035611,5.737449646,289.957804875706,23.8910981309,0.651931453139885,0.889365197360211,0.684608466729281,0.264098432595888,0.447550351977242,0.437386885498306,0.0498151790294822,0.217619121773928,0.248513721027719,0.000550831135819682
