EST_ID,mean.pr,SD.pr,ES0.99.pr,mean.tas,SD.tas,ES0.99,relative.abundance,richness,risk5,Area_Ha,mean.pr.norm,SD.pr.norm,ES0.99.pr.norm,mean.tas.norm,SD.tas.norm,ES0.99.norm,relative.abundance.norm,richness.norm,risk5.norm,Area_Ha.norm
303,-0.49,-23.47,-15.14,23.35,-8.96,1.64,0.05,31.05,558.32,4.06,0.32,0.37,0.33,0.49,0.25,0.29,0.07,0.39,0.48,0.00
304,-0.73,-26.54,-17.27,24.30,-8.58,1.41,0.01,12.32,330.99,4.36,0.32,0.25,0.27,0.52,0.27,0.27,0.01,0.15,0.28,0.00
305,0.16,-24.60,-15.88,23.27,-8.31,1.32,0.03,21.82,330.99,5.10,0.35,0.32,0.31,0.48,0.28,0.27,0.04,0.27,0.28,0.00
306,0.63,-24.91,-16.13,23.82,-8.41,1.11,0.05,27.65,330.99,12.63,0.37,0.31,0.30,0.50,0.28,0.25,0.06,0.35,0.28,0.00
307,0.98,-26.82,-17.97,25.71,-8.48,0.87,0.07,24.58,165.49,19.71,0.38,0.24,0.25,0.58,0.27,0.24,0.09,0.31,0.14,0.00
308,1.12,-25.87,-16.90,24.96,-7.76,1.22,0.07,28.58,330.99,0.13,0.39,0.27,0.28,0.55,0.30,0.26,0.10,0.36,0.28,0.00
309,0.85,-27.39,-18.73,26.39,-8.09,1.27,0.08,26.88,216.29,30.30,0.38,0.21,0.23,0.60,0.29,0.26,0.11,0.34,0.19,0.00
310,0.54,-22.84,-14.66,22.81,-8.32,1.52,0.00,1.00,558.32,1.59,0.36,0.39,0.34,0.47,0.28,0.28,0.00,0.00,0.48,0.00
311,0.54,-23.43,-14.96,23.75,-8.40,1.44,0.05,30.79,330.99,2.48,0.36,0.37,0.33,0.50,0.28,0.27,0.07,0.39,0.28,0.00
312,2.76,-16.34,-10.55,25.27,-7.74,-0.21,0.09,29.59,36.05,99.48,0.45,0.65,0.46,0.56,0.31,0.16,0.12,0.37,0.03,0.00
313,2.83,-16.99,-11.14,24.91,-7.26,0.24,0.07,36.52,48.06,128.07,0.45,0.62,0.44,0.55,0.33,0.19,0.10,0.46,0.04,0.00
314,2.33,-17.21,-11.51,26.74,-7.03,0.84,0.07,29.81,127.81,0.76,0.43,0.62,0.43,0.62,0.34,0.23,0.10,0.37,0.11,0.00
