"","EST_ID","mean.pr","SD.pr","ES0.99.pr","mean.tas","SD.tas","ES0.99","relative.abundance","richness","risk1","Area_Ha","mean.pr.norm","SD.pr.norm","ES0.99.pr.norm","mean.tas.norm","SD.tas.norm","ES0.99.norm","relative.abundance.norm","richness.norm","risk1.norm","Area_Ha.norm"
"64",64,17.71870924,0.849779161,6.727596394,25.69497062,5.749671875,9.09657228,0.090830706,28.40605736,301.866624537257,8.80131767468,0.709685166414957,0.766147919346718,0.712885070880187,0.182591602300753,0.350381706490418,0.0923184251023594,0.123290446642352,0.355491701031076,0.258568781443273,0.000202049474606139
"65",65,16.84245826,1.026342264,6.861355918,26.06504175,4.995654282,9.056328147,0.091705047,38.18977356,150.933312268629,18.4221321034,0.681241161993923,0.771459091315526,0.716520031661176,0.193152546649517,0.316914305428314,0.0901029372854882,0.124529626823428,0.482393406846093,0.129284390721636,0.000424422732349131
"66",66,17.75456829,1.480049113,5.705352677,26.14142833,4.831053595,8.749941414,0.047396902,15.3595047,301.866624537257,36.7554599004,0.710849187911098,0.785106988625449,0.685105248488574,0.19533243682461,0.30960843185445,0.0732359799525407,0.0617328745903017,0.18626870296829,0.258568781443273,0.000848174989259824
"67",67,18.2292554,1.515428583,5.754835971,25.83754735,4.425740385,8.387208022,0.05237427,12.05276489,301.866624537257,9.89852314899,0.726258017759651,0.786171233907405,0.686449973915409,0.186660400942136,0.291618427535229,0.0532670714224858,0.0687871655128644,0.143377953277961,0.258568781443273,0.00022741002568458
"68",68,18.60521484,1.655016628,5.8219788,25.74613194,4.79389565,8.48019644,0.065018028,16.52822113,301.866624537257,4.09476634046,0.738462046305775,0.790370163917062,0.688274603241539,0.184051623927756,0.307959160193546,0.0583861954247131,0.0867068265237602,0.201427780107204,0.258568781443273,9.32633462924281e-05
"69",69,18.57942057,1.849256297,12.42283624,25.67030625,4.352146907,8.340336852,0.057065789,12.86317539,301.866624537257,21.9043776881,0.737624737878551,0.796213062391855,0.867655160212533,0.18188774021087,0.288351948786396,0.0506867572659478,0.0754363302711726,0.153889549562857,0.258568781443273,0.000504910543507746
"70",70,19.074726,1.575500766,5.675505576,26.48961193,4.015162218,8.1279546,0.060706798,17.14587212,169.052405637265,3.65544529203,0.75370285951521,0.787978257509923,0.684294143317766,0.205268763451203,0.273394735793951,0.0389948594227103,0.0805966352230406,0.209439149471059,0.144804595714046,8.31089821834175e-05
"71",71,15.51261331,3.954265634,6.270777119,35.1894989,10.22503128,18.38456563,0.098625183,41.02392197,5.01119046717088,265.106740682,0.638073032656037,0.859533577237785,0.700470850950513,0.453542715895712,0.549022493515387,0.603633605133834,0.134337351019771,0.519154312458003,0.00429241693964281,0.00612623316130017
"72",72,15.80649692,3.871100179,6.270332015,35.69265941,9.709410243,17.83544481,0.079964057,27.87638092,50.1119046717088,41.3814513904,0.647612795683874,0.857031887893499,0.700458755097185,0.467901712623194,0.526136427989146,0.573403845016991,0.107889434822576,0.348621423685334,0.0429241693964281,0.000955099076149163
"73",73,17.02059544,4.123612803,6.832557489,36.21705181,8.291025673,16.39242138,0.066683136,25.63280869,0,30.1200987956,0.687023677336127,0.864627687624992,0.715737424510382,0.482866616676409,0.463180807715588,0.493963673486282,0.0890667396845887,0.319520708038431,0,0.000694806802386706
