EST_ID,mean.pr,SD.pr,ES0.99.pr,mean.tas,SD.tas,ES0.99,relative.abundance,richness,risk5,Area_Ha,mean.pr.norm,SD.pr.norm,ES0.99.pr.norm,mean.tas.norm,SD.tas.norm,ES0.99.norm,relative.abundance.norm,richness.norm,risk5.norm,Area_Ha.norm
109,8.47,-9.16,-5.51,18.21,-4.96,3.67,0.08,25.63,330.94,21.27,0.67,0.93,0.6,0.29,0.43,0.43,0.1,0.32,0.28,0
110,8.44,-8.73,4.23,18.42,-4.72,3.71,0.06,15.93,165.47,28.69,0.67,0.95,0.88,0.29,0.44,0.43,0.08,0.19,0.14,0
111,7.8,-7.94,-2.71,17.26,-3.82,3.37,0.07,23.87,262.68,26.54,0.65,0.98,0.68,0.25,0.47,0.41,0.1,0.3,0.23,0
112,6.76,-8.66,-3.01,18.09,-3.49,5.5,0.09,26.83,262.68,2.32,0.61,0.95,0.67,0.28,0.49,0.55,0.12,0.34,0.23,0
113,6.19,-11.27,-3.84,18.55,-1.43,6.99,0.1,32.08,375.55,13.53,0.59,0.85,0.65,0.3,0.58,0.66,0.14,0.4,0.32,0
114,4.63,-10.82,-6.26,24.3,-3.15,4.35,0.06,23.54,75.31,4.27,0.52,0.87,0.58,0.52,0.5,0.47,0.08,0.29,0.06,0
115,4.89,-10.95,-6.19,22.12,-3.01,3.92,0.06,20.05,75.31,12.06,0.53,0.86,0.58,0.44,0.51,0.44,0.08,0.25,0.06,0
116,2.31,-13.87,-9.12,21.63,-7.75,2.36,0.08,35.96,324.43,1.4,0.43,0.75,0.5,0.42,0.3,0.34,0.11,0.45,0.28,0
117,5.6,-10.97,-5.92,19.09,-5.88,3.27,0.06,18.22,463.35,63.75,0.56,0.86,0.59,0.32,0.39,0.4,0.08,0.22,0.4,0
118,6.59,-10.24,-4.46,19.97,-7.06,3.64,0.06,17.37,231.67,33.07,0.6,0.89,0.63,0.36,0.33,0.43,0.08,0.21,0.2,0
119,6.28,-13.78,-7.91,18.79,-10.47,1.96,0.07,37.87,452.24,10.37,0.59,0.75,0.53,0.31,0.19,0.31,0.09,0.48,0.39,0
120,6.65,-10,-4.23,19.39,-7.51,3.23,0.05,13.76,276.92,38.22,0.6,0.9,0.64,0.33,0.32,0.4,0.06,0.17,0.24,0
121,6.83,-9.87,3.56,18.98,-7.85,3.19,0.06,30.04,218.47,48.64,0.61,0.91,0.86,0.32,0.3,0.39,0.08,0.38,0.19,0
122,6.57,-9.45,-3.62,18.41,-7.6,3.45,0.07,29.22,276.92,10.76,0.6,0.92,0.66,0.29,0.31,0.41,0.09,0.37,0.24,0
123,6.52,-9.56,-3.8,18.38,-7.51,3.43,0.07,28.05,553.83,11.76,0.6,0.92,0.65,0.29,0.32,0.41,0.1,0.35,0.47,0
124,6.38,-9.79,-2.6,19.41,-7.44,3.2,0.07,23.73,276.92,41.41,0.59,0.91,0.69,0.33,0.32,0.4,0.09,0.29,0.24,0
125,6.41,-9.38,-3.77,18.18,-7.25,3.43,0.12,53.06,553.83,13.41,0.59,0.93,0.65,0.29,0.33,0.41,0.16,0.68,0.47,0
